x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
53.4,58.1,69.5,43.2,51,60.3,62.9,54.5,53.4,58.1,56.7,35.3
55,58.9,59.9,56.6,52,64.9,64.3,58.9,55,58.9,81.2,54.2
53.6,57.3,58.9,54.6,53,67,60.7,65.8,53.6,57.3,46,22.6
67,66.8,76.6,53.9,54,64.9,47.1,51.6,67,66.8,48.1,36.6
69.1,62.9,53.4,71.8,55,67.5,56.2,56.5,69.1,62.9,71.8,30.8
65.7,66,69,59.7,56,66.9,60,57.1,45,80,64.5,54.9
72.3,70.8,56.2,62.4,57,66.8,49.3,69.5,72.3,70.8,53.7,38.6
49.4,47,51.4,82.2,58,68.2,59.4,56.2,49.4,47,65.2,31.2
48.9,55.3,52.9,50.3,59,68.5,56.9,53.7,48.9,55.3,56.8,42.3
51.5,51.2,43.1,64.5,60,71.5,67.3,46.3,79,46,58.4,34.9
61.5,61.7,66.1,44.9,61,68.6,54,62.4,61.5,61.7,73.4,100.4
53.3,50.4,76.2,50.7,62,69.9,66.3,56.1,53.3,50.4,28.7,58.5
64.9,73.3,56.8,63.9,63,66.7,70.5,58.3,64.9,73.3,60.2,77.4
67.9,64.5,48,77.3,64,66.6,42.6,50.2,67.9,64.5,55.6,74.2
66,71.3,58,52.3,65,69.8,58.6,73.1,66,71.3,73,93.7
75.5,80.8,56.6,61.3,66,64.7,57.5,62.9,75.5,80.8,69.5,82.1
58.7,56,65.7,47.8,67,67.7,52.5,58.4,58.7,56,59.3,78.3
75.5,73.9,47.1,73.8,68,62.5,63.6,58.2,75.5,73.9,77.6,93.2
61.9,66.4,48.7,66.1,69,58.3,49.8,59.3,61.9,66.4,54.1,76.3
55.7,47.2,53.4,52.8,70,63.4,70.1,57.1,55.7,47.2,63.6,91
