성별,입학전형,참여활동,GPA
여,학생부종합,자율활동,2.5
남,학생부종합,교과활동,4.2
여,학생부종합,자율활동,3
여,학생부교과,교과활동,4.1
여,학생부교과,교과활동,3.3
여,학생부종합,진로활동,3.5
남,학생부종합,진로활동,3.3
남,학생부종합,동아리,3.4
여,학생부교과,자율활동,2.6
여,학생부교과,자율활동,3.2
여,학생부교과,교과활동,3.2
여,학생부교과,교과활동,3.9
남,학생부종합,자율활동,3.6
남,학생부종합,교과활동,3.2
여,학생부종합,자율활동,3.5
남,학생부종합,자율활동,4
여,학생부종합,교과활동,3.5
여,학생부교과,봉사활동,4.2
여,학생부교과,동아리,3.5
남,학생부교과,동아리,3.5
여,학생부교과,교과활동,3.8
여,학생부교과,교과활동,3.7
여,학생부종합,동아리,3.5
여,학생부교과,교과활동,3.2
여,학생부교과,교과활동,3
남,학생부종합,자율활동,3.1
여,학생부교과,동아리,3.9
남,학생부종합,진로활동,3.3
여,학생부종합,동아리,3.6
여,학생부종합,진로활동,3.4
여,학생부종합,자율활동,3.9
남,학생부종합,진로활동,3.8
남,학생부종합,진로활동,3.4
여,학생부종합,자율활동,2.5
여,학생부종합,자율활동,3
여,학생부종합,자율활동,4.5
여,학생부종합,봉사활동,2.5
여,학생부교과,봉사활동,3.5
여,학생부교과,자율활동,3.3
남,학생부교과,교과활동,3.7
남,학생부종합,봉사활동,2.6
여,학생부종합,자율활동,3.1
여,학생부종합,동아리,3.2
남,학생부종합,봉사활동,4.1
여,학생부종합,자율활동,4.2
남,학생부교과,교과활동,3.3
남,학생부종합,자율활동,3
여,논술우수,교과활동,4
여,학생부교과,자율활동,4.1
남,학생부교과,교과활동,3.6
여,논술우수,자율활동,4.3
여,논술우수,자율활동,3.3
남,학생부교과,교과활동,1.3
여,논술우수,진로활동,3.9
여,논술우수,교과활동,3.5
여,학생부교과,교과활동,3.2
여,논술우수,자율활동,3.5
여,학생부교과,교과활동,3.9
남,논술우수,자율활동,3.1
여,학생부교과,교과활동,4
남,학생부교과,봉사활동,3.8
여,논술우수,교과활동,3.7
남,논술우수,동아리,3.8
남,학생부교과,교과활동,4.1
남,학생부교과,교과활동,3.7
여,논술우수,교과활동,2.9
여,학생부교과,교과활동,4.3
남,학생부교과,자율활동,4.2
여,논술우수,진로활동,3.8
여,논술우수,진로활동,3.9
여,학생부교과,교과활동,2.8
여,학생부교과,교과활동,3.9
여,학생부교과,동아리,3.3
여,논술우수,교과활동,3.4
여,학생부교과,진로활동,3
여,논술우수,동아리,1.5
남,논술우수,교과활동,1.6
여,논술우수,동아리,3.9
여,학생부교과,자율활동,2.6
남,논술우수,진로활동,2.8
남,논술우수,교과활동,3.1
여,논술우수,교과활동,3.6
여,학생부교과,봉사활동,3.6
여,학생부교과,교과활동,4.2
남,학생부교과,자율활동,3.5
여,논술우수,교과활동,3.3
여,논술우수,교과활동,3.4
남,학생부교과,자율활동,1.9
여,논술우수,교과활동,4.2
여,논술우수,교과활동,3.3
여,논술우수,교과활동,2.3
여,학생부교과,동아리,4.4
여,학생부교과,자율활동,4.3
남,학생부교과,자율활동,3.7
여,논술우수,교과활동,3.5
남,논술우수,동아리,2.7
여,논술우수,교과활동,3.5
여,학생부교과,교과활동,3.2
여,학생부교과,교과활동,3.6
여,논술우수,자율활동,2.5
여,논술우수,교과활동,3.3
남,논술우수,교과활동,2.9
여,논술우수,자율활동,3.7
여,학생부교과,진로활동,4.2
남,논술우수,동아리,3.1
여,논술우수,진로활동,3.9
여,학생부교과,교과활동,3.2
여,논술우수,교과활동,3.4
여,논술우수,봉사활동,3.9
남,논술우수,교과활동,3.2
남,학생부교과,자율활동,3.8
여,학생부교과,자율활동,3.1
여,논술우수,교과활동,3.4
여,논술우수,자율활동,3.7
여,학생부교과,진로활동,2.9
남,논술우수,교과활동,3.9
남,논술우수,자율활동,0.8
여,논술우수,교과활동,4.2
남,학생부교과,자율활동,4.3
남,학생부교과,교과활동,3.1
여,학생부교과,교과활동,3
여,논술우수,진로활동,3.5
남,논술우수,동아리,3.7
남,정시일반,자율활동,3.6
여,정시일반,교과활동,3.6
여,정시일반,진로활동,4
여,정시일반,자율활동,4
남,정시일반,진로활동,3.4
여,정시일반,동아리,3.7
남,정시일반,동아리,2.4
여,정시일반,동아리,3.7
남,정시일반,교과활동,2.8
여,정시일반,교과활동,3.9
여,정시일반,진로활동,4.1
여,정시일반,진로활동,2.8
여,정시일반,자율활동,2.6
여,정시일반,진로활동,3.5
남,정시일반,자율활동,2.6
여,정시일반,교과활동,3.2
여,정시일반,교과활동,3.8
남,정시일반,자율활동,3.9
여,정시일반,교과활동,3.3
여,정시일반,교과활동,3.2
여,정시일반,동아리,3.1
남,정시일반,자율활동,2.6
여,정시일반,진로활동,3.5
여,정시일반,동아리,4.2
여,정시일반,교과활동,3.2
남,정시일반,교과활동,3.3
남,정시일반,동아리,4.1
남,정시일반,자율활동,2.7
여,정시일반,자율활동,3.9
남,정시일반,자율활동,3.3
여,정시일반,교과활동,4.1
여,정시일반,교과활동,3.5
여,정시일반,교과활동,3.2
여,정시일반,교과활동,4
여,정시일반,동아리,3.7
여,정시일반,교과활동,3.5
여,정시일반,교과활동,4.2
남,정시일반,자율활동,3.2
여,정시일반,자율활동,4.1
여,정시일반,자율활동,3.4
남,정시일반,동아리,3.1
남,정시일반,교과활동,1.6
남,정시일반,교과활동,2.8
여,정시일반,교과활동,3.7
여,정시일반,교과활동,3.5
여,정시일반,자율활동,4.1
남,정시일반,자율활동,3.1
여,정시일반,동아리,2.9
여,정시일반,교과활동,3.4
여,정시일반,자율활동,2.7
남,정시일반,교과활동,2.7
남,정시일반,교과활동,3.7
남,정시일반,자율활동,2.4
여,정시일반,교과활동,3.5
남,정시일반,교과활동,3.5
남,정시일반,교과활동,3.8
남,정시일반,자율활동,2.3
여,정시일반,교과활동,3.3
여,정시일반,교과활동,3.5
남,정시일반,자율활동,3.1
여,정시일반,자율활동,4.3
여,정시일반,교과활동,4.2
여,정시일반,동아리,4
여,정시일반,동아리,3.8
남,정시일반,자율활동,4.2
남,정시일반,동아리,4.1
여,정시일반,동아리,4.4
여,정시일반,교과활동,2.8
여,정시일반,교과활동,4
남,정시일반,교과활동,3.4
여,정시일반,자율활동,3.2
여,정시일반,자율활동,3.6
여,정시일반,교과활동,3.7
남,정시일반,봉사활동,2.6
여,정시일반,자율활동,3.7
남,정시일반,자율활동,2.7
남,정시일반,동아리,3.1
여,정시일반,자율활동,4.2
여,정시일반,동아리,3.9
남,정시일반,동아리,3.5
여,정시일반,교과활동,4
여,정시일반,진로활동,1.5
